Timestamp,Gender ?,Your City,"On average, how many hours per day do you spend on social media?",What is your age?,Current Occuption,Which social media platform do you use the most?,What type of content do you consume most? (Select all that apply),How many hours of sleep do you get on average per night?,Do you use social media right before sleeping?  ,Do you check social media immediately after waking up?  ,"When you receive a notification while studying, what is your immediate reaction?",  What is the specific thing about social media that causes you the most stress or anxiety?  ,How often do you find yourself comparing your life to others?,"Do you feel ""FOMO"" (Fear of Missing Out) when you are offline?","In a few words, describe how you feel when you see your friends having fun without you on social media.",With how many specific people do you interact (DM/Tag) on a daily basis?,How would you rate your current daily stress level?,What is your current CGPA range? ,  Why do you usually open social media when you are supposed to be studying?  ,  Do you use social media to escape or forget about your real-life problems?  ,  How often do you get into arguments or heated discussions in comment sections?  ,  How does it affect your mood if a post you made gets fewer likes than you expected?  ,"Have you ever experienced any negative events on social media? (cyberbullying, harassment, hate comments, etc.)  ",Do you have any medically approved mental disorder?
16/12/2025 11:01:10,Female,Chitral ,3.0,18-30,Student,Instagram,Entertainment/Memes,7-10,Often,Often,Check it immediately,Scrolling ,5.0,3.0,I feel so sad and lonely.,0 (I just scroll),2.0,3.6–4.0,Due to my distracted mind,Yes,1.0,I Feel Bad,No,No
16/12/2025 11:12:32,Male,Peshawar ,5.0,18-30,Student,Instagram,Entertainment/Memes,7-10,Often,Always,Check it after a few minutes,I don't get anxiety about social media ,1.0,1.0,I feel great fun and joy with friends ,0 (I just scroll),1.0,3.1–3.5,Yes ,No,1.0,It doesn't matter,No,No
16/12/2025 11:13:02,Male,Lahore,16.0,18-30,Unemployed,Instagram,Entertainment/Memes,7-10,Always,Always,Check it immediately,Reels while scrolling once become sad and another become hilarious and next one become spiritual .these fluctuations really effect me.,3.0,4.0,I feel happy for being my friend but enjoy without me is frustrating .,4-10 people,4.0,3.1–3.5,Addicted ,Yes,1.0,It doesn't matter,Yes,No
16/12/2025 11:15:12,Male,Gilgit ,8.0,18-30,Student,Instagram,"Entertainment/Memes, Educational/Informative, Friends/Family updates",1-5 Hours,Always,Always,Check it after a few minutes,Excessive use of phone ,2.0,2.0,Nothing ,0 (I just scroll),5.0,3.1–3.5,After studying one hour I open social Media ,Yes,2.0,It doesn't matter,No,No
16/12/2025 11:16:27,Female,Karachi,5.0,18-30,Student,Instagram,"Entertainment/Memes, Educational/Informative",5-7,Always,Always,Check it after a few minutes,Wasting  time on social  media rather  than studying ,3.0,5.0,I didn't affect  that much to me,1-3 people,3.0,2.5–3.0,To relax my mind i opened social  media for few minutes ,Yes,1.0,It doesn't matter,No,No
16/12/2025 11:19:06,Female,Peshawar ,12.0,18-30,Student,Whatsapp,"Entertainment/Memes, News/Politics, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",5-7,Always,Always,Check it immediately,The luxury lifestyle of others ,1.0,4.0,Nothing ,1-3 people,5.0,3.1–3.5,To see someone texted me or not,Yes,1.0,I Feel Bad,Yes,No
16/12/2025 11:21:31,Male,Gilgit ,8.0,18-30,Student,Whatsapp,"Entertainment/Memes, Educational/Informative, Friends/Family updates",7-10,Always,Always,Check it immediately,Slow internet speed.,4.0,3.0,I feel anger because why  I'm not include in that fun.,1-3 people,1.0,3.1–3.5,Because to find the answers quickly.,No,2.0,I Feel Bad,Yes,No
16/12/2025 11:22:09,Female,rawalpindi,5.0,18-30,Employed,Instagram,"Entertainment/Memes, News/Politics, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",5-7,Always,Always,Check it after a few minutes,idk,2.0,3.0,no any problem its not effect me ,1-3 people,2.0,2.5–3.0,check google,No,1.0,It doesn't matter,No,No
16/12/2025 11:28:27,Male,Gilgit ,5.0,18-30,Employed,Instagram,"Entertainment/Memes, Educational/Informative",5-7,Always,Often,Get annoyed but check it,Stressful ,3.0,3.0,Nothing ,0 (I just scroll),2.0,3.1–3.5,For Help ,No,1.0,It doesn't matter,Yes,No
16/12/2025 11:28:28,Male,Chitral,5.0,18-30,Student,Instagram,Entertainment/Memes,5-7,Always,Always,Check it immediately,When I compare myself with people on social because of their elite lifestyle.,5.0,5.0,It's hurt me very much and I become very sad.,4-10 people,4.0,< 2.5,"Studying often requires sustained focus on difficult material, which can be mentally taxing. Social media, in contrast, offers an immediate escape with minimal effort.",Yes,1.0,It doesn't matter,No,No
16/12/2025 11:29:58,Female,Gilgit ,5.0,18-30,Employed,Whatsapp,"Entertainment/Memes, Educational/Informative, Friends/Family updates",7-10,Always,Always,Check it immediately,misuse of social media ,1.0,1.0,I want to spend time with them.,1-3 people,2.0,3.1–3.5,Mobile addicted ,Yes,2.0,I Feel Bad,No,No
16/12/2025 11:30:51,Male,Islamabad ,2.0,18-30,Student,Whatsapp,Educational/Informative,5-7,Often,Often,Get annoyed but check it,Everything ,1.0,1.0,Don't care. Don't have a lot of friends.,1-3 people,4.0,3.6–4.0,dopamine. heard of that?,Yes,1.0,It doesn't matter,No,No
16/12/2025 11:40:23,Male,Gilgit,5.0,18-30,Student,Whatsapp,"Educational/Informative, Lifestyle/Influencers, Friends/Family updates",7-10,Always,Always,Get annoyed but check it,Nothing. People often see things as evil even though it's a fact that everything that exists has a positive and a negative side. For Example: you can use a knife to cut vegetables and use it positively for daily needs and also you can use it to cut someones throat. It depends on the person using it. we are responsible for our actions so instead of saying it is bad we have to educate people to use it in a way that brings benefit. ,3.0,2.0,"It's good to see that they are having fun but sometimes when they go out without infroming me gets me uncomfortable. But then I say that maybe in this time I can be more productive than before, I can utilize that time better. ",4-10 people,2.0,3.6–4.0,"I use Youtube for studying different stuff. so it's like learning from social media. And yes I use meta AI to ask different questions which also includes learning from it. That means studying as well as using social media. Social media is good for my personal growth I don't know what other's think about it. Social media helps students connect to each other through whatsapp groups. Which allows us to share different content, course outlines, books, presentations, assignments etc. It help me always in a positive way ",No,1.0,It doesn't matter,No,No
16/12/2025 11:51:24,Female,Gilgit ,3.5,12-18,Student,Instagram,"Entertainment/Memes, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",5-7,Often,Often,Check it after a few minutes,When I see people being successful at my age.,2.0,3.0,I feel left out and envy them.,0 (I just scroll),4.0,3.6–4.0,I don't know I get distracted by notification and forget that I was studying.,Yes,1.0,I Feel Bad,No,No
16/12/2025 11:56:38,Male,Chitral,6.0,18-30,Student,Instagram,Entertainment/Memes,5-7,Always,Always,Check it after a few minutes,Dont know,3.0,1.0,Neutral,4-10 people,3.0,3.1–3.5,Yes,No,2.0,It doesn't matter,No,No
16/12/2025 12:18:09,Female,Islamabad ,9.0,18-30,Student,Instagram,Entertainment/Memes,10+,Often,Often,Check it immediately,Nothing ,1.0,1.0,Weird ,1-3 people,1.0,3.6–4.0,Yes ,No,1.0,It doesn't matter,No,No
16/12/2025 12:32:50,Male,lahore,3.0,30-40,Employed,Facebook,Entertainment/Memes,7-10,Always,Sometimes,Check it immediately,"Comparing your life to others and feeling like you’re falling behind or missing out.
",3.0,4.0,"Left out, lonely, and slightly sad, with a sense of missing out",0 (I just scroll),3.0,2.5–3.0,"i open social media because your brain seeks quick pleasure and relief from the effort or stress of studying. It’s a habit driven by instant rewards, not a lack of discipline.",Yes,1.0,I Feel Bad,No,No
16/12/2025 12:39:01,Male,Rawalpindi,4.0,30-40,Self-Employed,Instagram,"Entertainment/Memes, News/Politics, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",7-10,Never,Rarely,Ignore it completely,Continuous popups and unrelated posts,2.0,1.0,No difference,0 (I just scroll),3.0,3.6–4.0,I do not use social media when studying,No,1.0,It doesn't matter,No,No
16/12/2025 13:14:50,Male,Karachi,5.0,18-30,Student,Instagram,Entertainment/Memes,5-7,Often,Often,Check it after a few minutes,.,4.0,4.0,.,4-10 people,1.0,3.6–4.0,.,Yes,1.0,It doesn't matter,No,No
16/12/2025 13:16:50,Female,Hunza,5.0,18-30,Employed,Instagram,"Entertainment/Memes, Educational/Informative, Friends/Family updates",5-7,Always,Rarely,Check it immediately,Social media it self is a stress or anxiety for me because meaningless scrolling often creates stress that why I am doing this although I knew this is useless. ,1.0,1.0,I am happy without social media. ,1-3 people,2.0,3.1–3.5,Just to take a break from study for 5 to 10 minutes and it's turns to 1 hours plus,No,1.0,It doesn't matter,No,No
16/12/2025 13:42:33,Female,Peshawar ,5.0,18-30,Student,Whatsapp,"Entertainment/Memes, Educational/Informative, Friends/Family updates",7-10,Always,Often,Check it after a few minutes,FOMO,4.0,2.0,"I feel happy for them, but wish if I could be there too.",1-3 people,4.0,3.6–4.0,I don't open social media when I have my papers,Yes,1.0,I Feel Bad,No,No
16/12/2025 13:47:49,Male,Peshawar ,10.0,18-30,Student,TikTok,"Entertainment/Memes, Lifestyle/Influencers, Friends/Family updates",5-7,Always,Always,Check it after a few minutes,News ,3.0,2.0,Nothings ,More than 10 people,2.0,2.5–3.0,Nil,No,1.0,I Feel Bad,No,No
16/12/2025 13:48:11,Female,Peshawar ,2.0,18-30,Student,YouTube,"Entertainment/Memes, News/Politics, Educational/Informative, Friends/Family updates",7-10,Often,Often,Get annoyed but check it,Bad news ,1.0,3.0,Angry ,1-3 people,2.0,3.6–4.0,To check an update ,Yes,1.0,It doesn't matter,Yes,No
16/12/2025 13:49:56,Female,Mardan ,8.0,18-30,Student,Whatsapp,"Lifestyle/Influencers, Friends/Family updates",5-7,Always,Sometimes,Check it after a few minutes,TikTok ,3.0,2.0,Jealous ,1-3 people,4.0,3.1–3.5,UTube ,No,2.0,It doesn't matter,No,No
16/12/2025 13:54:13,Female,Peshawar ,4.0,18-30,Student,Instagram,News/Politics,7-10,Sometimes,Never,Ignore it completely,Palestine content ,3.0,1.0,Nothing ,1-3 people,3.0,3.6–4.0,I don't open social media when i start studying,No,1.0,It doesn't matter,No,No
16/12/2025 14:04:55,Male,Peshawar,4.0,30-40,Self-Employed,Instagram,"Entertainment/Memes, News/Politics, Educational/Informative, Friends/Family updates",7-10,Often,Sometimes,Check it after a few minutes,Most news are based on lie,2.0,1.0,If the are happy i am happy,1-3 people,3.0,2.5–3.0,Yes,No,1.0,It doesn't matter,No,No
16/12/2025 14:08:08,Male,Peshawar ,2.45,18-30,Student,Whatsapp,"Entertainment/Memes, Educational/Informative, Friends/Family updates",5-7,Always,Sometimes,Get annoyed but check it,Unrelated contents,1.0,1.0,Feeling ignored ,1-3 people,1.0,3.1–3.5,Due to priority issues ,No,1.0,It doesn't matter,No,No
16/12/2025 14:16:01,Female,Peshawar ,2.0,18-30,Student,YouTube,Educational/Informative,5-7,Always,Always,Ignore it completely,Nothing ,1.0,1.0,I feel like everyone has its own personal life and they have the right to enjoy their life,1-3 people,3.0,3.1–3.5,Chat gpt ,No,1.0,It doesn't matter,No,No
16/12/2025 14:27:29,Female,Chitral,4.0,18-30,Student,Whatsapp,Educational/Informative,5-7,Sometimes,Sometimes,Check it after a few minutes,Sometimes ,5.0,2.0,Sometimes Its make unpleasant ,0 (I just scroll),2.0,2.5–3.0,Youtube ,No,1.0,It doesn't matter,Yes,No
16/12/2025 14:27:36,Female,Peshawar ,4.0,18-30,Employed,TikTok,Entertainment/Memes,5-7,Always,Often,Check it after a few minutes,Sad content ,1.0,1.0,Feel nothing ,0 (I just scroll),1.0,3.1–3.5,To check someone msg me or not,No,1.0,It doesn't matter,No,No
16/12/2025 14:31:05,Male,Rawalpindi ,2.0,18-30,Student,YouTube,"Entertainment/Memes, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",7-10,Always,Always,Check it immediately,Most of the time country related post political instability and overall Pakistani and Muslim image in the word,3.0,4.0,It's peaceful ,4-10 people,3.0,2.5–3.0,Normally checking Whatsapp and during study 10 to 15 minute during the break to fresh mind,No,1.0,It doesn't matter,Yes,No
16/12/2025 14:41:20,Male,Peshawar ,10.0,12-18,Student,Instagram,Entertainment/Memes,7-10,Sometimes,Rarely,Check it after a few minutes,Down Fall of Muslims,5.0,2.0,Happy to see them,0 (I just scroll),3.0,2.5–3.0,I want to become a successful man,Yes,1.0,It doesn't matter,Yes,No
16/12/2025 14:42:58,Male,Chitral,7.0,18-30,Student,Instagram,Entertainment/Memes,5-7,Always,Sometimes,Get annoyed but check it,"Disturbing content, negative talks, ads",2.0,3.0,"I feel left out, importance of me in their lives",1-3 people,5.0,3.1–3.5,I just want a dopamine hit from scrolling,Yes,2.0,It doesn't matter,Yes,No
16/12/2025 16:50:29,Male,Karachi ,7.0,18-30,Student,Instagram,"Entertainment/Memes, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",5-7,Always,Always,Check it immediately,Not specific thing ,1.0,1.0,I feel happy ,0 (I just scroll),3.0,3.6–4.0,"At study time When I feel bored , I used Instagram to refresh my self , ",No,1.0,It doesn't matter,Yes,No
16/12/2025 17:46:09,Male,Sargodha ,2.0,18-30,Unemployed,YouTube,"News/Politics, Educational/Informative",7-10,Often,Sometimes,Check it after a few minutes,Too much content ,2.0,3.0,"Nothing, I don't feel that much ",More than 10 people,3.0,3.6–4.0,Because of other interests to know what is happening ,No,1.0,It doesn't matter,No,No
16/12/2025 19:32:32,Female,Rawalpindi ,6.0,18-30,Student,Instagram,Educational/Informative,7-10,Sometimes,Never,Ignore it completely,"Seeing others’ highlight reels makes me compare my life to theirs, which triggers fear of missing out and makes me feel like I’m falling behind.",2.0,1.0,"A bit left out and sad, with some loneliness and self-doubt, even though I know social media doesn’t show the full picture.",1-3 people,1.0,3.1–3.5,"I usually open social media to escape stress and boredom from studying—it feels like a quick break, but it easily turns into procrastination.",No,1.0,It doesn't matter,No,No
16/12/2025 21:13:03,Female,Chitral,5.0,18-30,Student,Whatsapp,Friends/Family updates,5-7,Often,Always,Get annoyed but check it,Comparison and selfdoubt,5.0,5.0,I feel tough,1-3 people,1.0,3.6–4.0,When i take break from studies,No,1.0,I Feel Bad,Yes,No
16/12/2025 22:30:19,Male,Chitral,6.0,18-30,Student,Instagram,"Entertainment/Memes, Educational/Informative",5-7,Always,Rarely,Get annoyed but check it,I doesn't let me do anything else,1.0,4.0,I love that but all my friends use social media more then me😁,1-3 people,3.0,3.6–4.0,To be calm a bit. ,No,3.0,It doesn't matter,No,No
16/12/2025 22:32:25,Male,qaidabad ,4.0,18-30,Student,YouTube,Educational/Informative,5-7,Often,Rarely,Check it after a few minutes,Bad news,3.0,3.0,N/a,1-3 people,2.0,3.1–3.5,to relax sometimes,Yes,3.0,It doesn't matter,Yes,No
16/12/2025 22:32:56,Female,Peshawar,3.0,18-30,Student,Whatsapp,Friends/Family updates,7-10,Sometimes,Never,Check it after a few minutes,"Social media isFull of news, notification and massages.",1.0,1.0,I feel like how they are happy.,0 (I just scroll),2.0,3.1–3.5,For searching,Yes,1.0,It doesn't matter,No,No
16/12/2025 22:40:48,Male,peshawar,4.0,18-30,Student,Instagram,"Entertainment/Memes, News/Politics, Educational/Informative, Friends/Family updates",7-10,Always,Always,Check it after a few minutes,Almost everything that is non-sense,2.0,2.0,"A mix of left out, sad, and a little lonely, sometimes with self-doubt.",4-10 people,1.0,2.5–3.0,"quick break or distraction,",Yes,2.0,It doesn't matter,No,No
16/12/2025 22:48:44,Female,Karachi ,8.0,18-30,Unemployed,Whatsapp,Friends/Family updates,5-7,Often,Often,Check it immediately,Bad news,3.0,2.0,Not good ,0 (I just scroll),2.0,3.1–3.5,Na,Yes,4.0,I Feel Bad,Yes,No
16/12/2025 22:57:13,Male,Peshawar ,3.0,12-18,Student,Instagram,Friends/Family updates,1-5 Hours,Sometimes,Always,Ignore it completely,Social media  leads  to social  comparison,5.0,4.0,Friend ,1-3 people,3.0,2.5–3.0,No,Yes,3.0,I Feel Bad,Yes,Yes
16/12/2025 23:01:12,Male,Peshawar,7.0,18-30,Student,Instagram,"Entertainment/Memes, News/Politics",5-7,Often,Never,Check it immediately,"Negative and disturbing content on social media, like videos of accidents or murders, stresses me a lot. Seeing such things unexpectedly creates fear, anxiety, and affects my peace of mind.",2.0,1.0,"A mix of loneliness, sadness, and a quiet sense of being left out.",More than 10 people,4.0,3.1–3.5,"I usually open social media to take a quick mental break, but it often turns into a distraction that pulls my focus away from studying.",No,4.0,It doesn't matter,No,No
16/12/2025 23:01:45,Male,Chitral,6.0,18-30,Unemployed,Instagram,Entertainment/Memes,5-7,Always,Always,Get annoyed but check it,Negative comments ,2.0,1.0,Best movement of my life,1-3 people,2.0,3.6–4.0,When ever bored ,Yes,1.0,It doesn't matter,No,No
16/12/2025 23:03:13,Female,Islamabad ,7.0,18-30,Unemployed,Instagram,Entertainment/Memes,7-10,Always,Always,Get annoyed but check it,Comparison ,5.0,3.0,Strong desire to have fun with them.,1-3 people,3.0,3.1–3.5,Addiction ,No,1.0,It doesn't matter,No,No
16/12/2025 23:08:02,Female,Gilgit baltistan ,6.0,18-30,Student,Instagram,"Entertainment/Memes, Educational/Informative",5-7,Always,Rarely,Check it immediately,Like suicide cases aur harassments etc ,1.0,3.0,Sometimes happy or sometimes I feel bad ,0 (I just scroll),5.0,3.1–3.5, May be distraction. Aur I think we're using social media most of the time that's why we're opening social media during studies ,No,1.0,It doesn't matter,No,No
16/12/2025 23:21:18,Male,Lahore,8.0,18-30,Employed,TikTok,"Entertainment/Memes, Educational/Informative",1-5 Hours,Always,Always,Check it after a few minutes,Free time ,3.0,1.0,"Not bed because I am like to fun alone,",0 (I just scroll),3.0,2.5–3.0,Because iam bored and when i feel alone then use it  to relax my brain.,Yes,2.0,It doesn't matter,No,No
16/12/2025 23:25:44,Female,Dera Ismail Khan ,4.0,18-30,Student,TikTok,"Entertainment/Memes, News/Politics, Educational/Informative",5-7,Always,Rarely,Check it after a few minutes,High status elite lifestyle of people,1.0,1.0,No friends no feel,0 (I just scroll),3.0,3.6–4.0,Mind relaxation ,No,1.0,It doesn't matter,No,No
16/12/2025 23:34:13,Male,Peshawar,4.0,18-30,Student,YouTube,"Entertainment/Memes, News/Politics, Educational/Informative",5-7,Often,Sometimes,Get annoyed but check it,i usually stuck in reels scrolling ,1.0,1.0,No one is there without social media except me,1-3 people,3.0,< 2.5,yes,Yes,1.0,I Feel Bad,No,No
16/12/2025 23:38:21,Female,Chitral ,3.0,18-30,Student,Whatsapp,"Entertainment/Memes, Educational/Informative, Friends/Family updates",7-10,Often,Often,Check it immediately,Comparing myself with others.,4.0,2.0,I feel lonely and sad.,0 (I just scroll),2.0,3.6–4.0,Because of my distracted mind ,Yes,1.0,I Feel Bad,No,No
17/12/2025 00:10:55,Male,Karak,2.0,18-30,Student,YouTube,"News/Politics, Educational/Informative",1-5 Hours,Sometimes,Rarely,Check it after a few minutes,Notifications,1.0,1.0,Doesn't matter at all,1-3 people,4.0,3.6–4.0,Sometimes ,No,1.0,It doesn't matter,No,No
17/12/2025 00:37:20,Female,Rawalpindi ,9.0,30-40,Unemployed,Instagram,"Entertainment/Memes, Lifestyle/Influencers, Friends/Family updates",7-10,Always,Sometimes,Check it after a few minutes,Lifestyle and travel diaries,5.0,3.0,Stress and unhappiness ,0 (I just scroll),5.0,3.1–3.5,Nothing,No,3.0,It doesn't matter,No,No
17/12/2025 00:59:12,Female,Quetta ,16.0,12-18,Student,TikTok,Lifestyle/Influencers,7-10,Always,Always,Check it immediately,Money ,5.0,5.0,Jealous ,4-10 people,5.0,2.5–3.0,Cause studying is no fun and I can't understand what's really written or the idea of the topic ,Yes,5.0,I Feel Bad,Yes,No
17/12/2025 02:33:40,Female,peshawar,8.0,18-30,Student,YouTube,Entertainment/Memes,1-5 Hours,Always,Always,Check it after a few minutes,urge to use it continuously ,4.0,1.0,feeling like they are having best life and I am stuck,1-3 people,5.0,3.6–4.0,just to stop worrying and for distraction from this,Yes,5.0,I Feel Bad,Yes,No
17/12/2025 02:42:42,Male,chitral ,12.0,18-30,Unemployed,YouTube,Educational/Informative,5-7,Sometimes,Often,Check it after a few minutes,The constant comparison and pressure to keep up with others’ curated lives on social media causes me the most stress.,5.0,5.0,Surprise ,More than 10 people,5.0,3.6–4.0,yes,No,1.0,I delete the post,Yes,No
17/12/2025 02:48:07,Male,Lower chitral ,5.0,18-30,Student,Whatsapp,Entertainment/Memes,7-10,Always,Always,Check it immediately,Different news,1.0,3.0,Not effect ,1-3 people,1.0,3.1–3.5,For chat gpt,No,1.0,I Feel Bad,Yes,No
17/12/2025 07:48:36,Male,Upper chitral ,1.0,18-30,Employed,YouTube,"Entertainment/Memes, News/Politics, Educational/Informative",5-7,Always,Sometimes,Check it immediately,People thought/opinion on post.,3.0,1.0,Missing that moment with them.,0 (I just scroll),3.0,3.1–3.5,To get have relaxation.,No,3.0,It doesn't matter,Yes,No
17/12/2025 07:53:37,Male,Islamabad,3.0,18-30,Student,Instagram,Entertainment/Memes,5-7,Always,Often,Check it immediately,"Dead bodies, conflicts, bad news",3.0,4.0,"I feel missing out. Feel like I am not capable enough, I have to do some hard work, and enjoy life. ",1-3 people,3.0,3.6–4.0,Unconditionally I open social media I don't know why,Yes,3.0,I Feel Bad,No,No
17/12/2025 08:43:09,Male,Peshawar ,2.5,18-30,Student,YouTube,News/Politics,7-10,Often,Often,Check it after a few minutes,I feel lonely ,1.0,1.0,Very good and emotional ,1-3 people,1.0,3.6–4.0,Messages ,No,1.0,It doesn't matter,Yes,No
17/12/2025 09:12:31,Female,Gilgit ,7.0,18-30,Student,Whatsapp,Friends/Family updates,7-10,Always,Sometimes,Check it after a few minutes,Comparison ,3.0,1.0,Annoyed and get hurt deeply ,4-10 people,3.0,3.1–3.5,For important notification ,Yes,1.0,I Feel Bad,No,No
17/12/2025 10:22:50,Male,Gilgit ,4.0,18-30,Student,YouTube,Entertainment/Memes,5-7,Often,Rarely,Get annoyed but check it,Loss of time and the content which we are looking some half badly influence our brain,3.0,1.0,I do not use Instagram or Facebook because I know if l will saw my friends they will showcase there achievements and universities and all that on social media so that is the reason l avoid to use these apps. And the one who use these apps always draw comparison and effects his or her mental wellbeing. ,0 (I just scroll),2.0,3.1–3.5,I often search any educational content when I get confused while studying any particular subject. ,No,1.0,It doesn't matter,Yes,No
17/12/2025 10:26:54,Male,Karachi ,4.0,18-30,Student,Instagram,"Entertainment/Memes, News/Politics, Educational/Informative",5-7,Often,Often,Check it after a few minutes,When you messaged someone and he or she doesn't reply back ,4.0,2.0,I feel really happy,More than 10 people,3.0,2.5–3.0,Its to tempting ,No,1.0,It doesn't matter,No,No
17/12/2025 10:40:16,Female,Rawalpindi ,5.0,18-30,Student,Instagram,"Entertainment/Memes, Educational/Informative",7-10,Sometimes,Rarely,Check it after a few minutes,Nothing ,1.0,1.0,I feel my time will come soon,1-3 people,2.0,3.6–4.0,I don't open it ,No,1.0,It doesn't matter,No,No
17/12/2025 13:01:45,Male,Peshawar,5.0,18-30,Student,Facebook,Lifestyle/Influencers,5-7,Always,Always,Check it immediately,Comparison ,5.0,3.0,stressful ,1-3 people,5.0,2.5–3.0,entertainment ,Yes,2.0,I Feel Bad,Yes,No
17/12/2025 13:13:22,Male,Islamabad ,8.0,18-30,Unemployed,Instagram,Entertainment/Memes,5-7,Always,Always,Check it immediately,Feeling inadequate after comparing myself to others online.,4.0,3.0,Left out and a bit insecure.,1-3 people,2.0,3.1–3.5,I get bored and check it,No,1.0,I Feel Bad,No,No
